"OGO","OPERATOR","CLIENT_STATUS","API","PF_TYPE","OTHER_TYPE","FARM","SPUD_DATE","WELL_STATUS","WELL_TYPE","IIJA_IND","UNCONVENTIONAL","CONSERVATION","CONFIGURATION","LATITUDE","LONGITUDE","LATITUDE_DECIMAL","LONGITUDE_DECIMAL","REGION","COUNTY","MUNICIPALITY","ADDRESS1","ADDRESS2","CITY","STATE","ZIP","WELL_PAD","WELL_PAD_ID","SITE_ID","PLUG_COMPLETED_DATE","PRIMARY_FACILITY_ID","CLIENT_ID"
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28326","OGL","OGW","YOST 1379","1/01/1800","Plugged OG Well","OIL","","No","No","Undetermined","39° 59' 23.722''","-80° 13' 58.047''",39.989923,-80.232791,"EP DOGO SWDO Dstr Off","Greene","Washington Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",865457,"9/06/2023",867505,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28332","OGL","OGW","YOST 1378 OG WELL","1/01/1800","Plugged OG Well","UNDETERMINED","","No","No","Undetermined","39° 59' 24.910''","-80° 14' 5.73''",39.990253,-80.234925,"EP DOGO SWDO Dstr Off","Greene","Washington Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",865714,"8/14/2023",867798,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28333","OGL","OGW","HUGH SIMPSON #1","1/01/1800","Plugged OG Well","UNDETERMINED","","No","No","Vertical Well","39° 57' 1.2024''","-80° 16' 26.274''",39.950334,-80.273965,"EP DOGO SWDO Dstr Off","Greene","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",865812,"7/28/2023",867905,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28334","OGL","OGW","BROWN 1446","1/01/1800","Plugged OG Well","UNDETERMINED","","No","No","Vertical Well","39° 59' 29.421''","-80° 15' 41.558''",39.991506,-80.261544,"EP DOGO SWDO Dstr Off","Greene","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",865905,"5/23/2025",868031,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28335","OGL","OGW","CONSOL 5431","1/01/1800","Plugged OG Well","OIL","","No","No","Undetermined","39° 50' 3.228''","-80° 24' 50.425''",39.83423,-80.414007,"EP DOGO SWDO Dstr Off","Greene","Aleppo Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",866034,"8/16/2023",868181,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28371","OGL","OGW","PRILL HOPKINS 1-432","1/01/1800","Plugged OG Well","UNDETERMINED","","No","No","Vertical Well","39° 56' 23.884''","-80° 15' 36.590''",39.939968,-80.260164,"EP DOGO SWDO Dstr Off","Greene","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",869308,"2/28/2024",871946,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28395","OGL","OGW","T & J HUFFMAN 3","1/01/1800","Plugged OG Well","UNDETERMINED","","No","No","Undetermined","39° 58' 58.774''","-80° 14' 11.058''",39.982993,-80.236405,"EP DOGO SWDO Dstr Off","Greene","Washington Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",872793,"7/01/2024",875750,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28450","OGL","OGW","BROWN 1447","1/01/1800","Plugged OG Well","UNDETERMINED","","No","No","Undetermined","39° 59' 33.669''","-80° 15' 31.053''",39.992686,-80.258626,"EP DOGO SWDO Dstr Off","Greene","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",877335,"4/25/2025",880870,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28452","OGL","OGW","GEORGE WEIMER 3053","1/01/1800","Plugged OG Well","GAS","","No","No","Undetermined","39° 50' 30.242''","-80° 26' 59.740''",39.841734,-80.449928,"EP DOGO SWDO Dstr Off","Greene","Aleppo Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",877828,"9/04/2025",881410,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-28453","OGL","OGW","GEORGE WEIMER U-699","1/01/1800","Plugged OG Well","OIL","","No","No","Undetermined","39° 50' 22.210''","-80° 26' 37.986''",39.839503,-80.443885,"EP DOGO SWDO Dstr Off","Greene","Aleppo Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",877829,"7/28/2025",881411,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","059-90211","OGL","OGW","J. W. DAY 1","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","40° 0' 12.862''","-80° 19' 1.7184''",40.003573,-80.317144,"EP DOGO SWDO Dstr Off","Greene","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",804386,"5/17/2024",797947,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","125-92007","OGL","OGW","WECHTNER 1","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","40° 0' 27.147''","-80° 20' 2.3496''",40.007541,-80.333986,"EP DOGO SWDO Dstr Off","Washington","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",802720,"4/09/2025",796281,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","125-92085","OGL","OGW","F W JOHN 1-612 (885)","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","40° 0' 48.578''","-80° 19' 15.729''",40.013494,-80.321036,"EP DOGO SWDO Dstr Off","Washington","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",805728,"5/10/2024",799289,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","125-92086","OGL","OGW","L. A. RUSH 1","1/01/1800","Plugged OG Well","DRY HOLE","","No","No","Vertical Well","40° 0' 54.500''","-80° 19' 38.888''",40.015139,-80.327469,"EP DOGO SWDO Dstr Off","Washington","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",801747,"3/12/2024",795308,259457
"OGO-38810","CONSOL PA COAL CO LLC","Active, Non-Govt","125-92333","OGL","OGW","C KINNAN 2","1/01/1800","Plugged OG Well","DRY HOLE","","No","No","Vertical Well","40° 0' 34.207''","-80° 15' 43.495''",40.009502,-80.262082,"EP DOGO SWDO Dstr Off","Washington","Morris Twp","1525 PLEASANT GROVE RD","","CLAYSVILLE","PA","15323-1073","","",804807,"5/18/2022",798368,259457
"OGO-31556","CONSOLIDATION COAL CO","Bankruptcy Ch 11, Non-Govt","059-02270","OGL","OGW","CHAS H RICE 93A B2-584","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","39° 45' 48.807''","-80° 22' 40.737''",39.763558,-80.377983,"EP DOGO SWDO Dstr Off","Greene","Gilmore Twp","46226 NATIONAL RD","","SAINT CLAIRSVILLE","OH","43950-8742","","",708768,"2/03/2022",708847,2230
"OGO-31556","CONSOLIDATION COAL CO","Bankruptcy Ch 11, Non-Govt","059-02271","OGL","OGW","CHAS H RICE 93A B2-585","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","39° 45' 48.807''","-80° 22' 39.456''",39.763558,-80.377627,"EP DOGO SWDO Dstr Off","Greene","Gilmore Twp","46226 NATIONAL RD","","SAINT CLAIRSVILLE","OH","43950-8742","","",708769,"3/10/2022",708852,2230
"OGO-31556","CONSOLIDATION COAL CO","Bankruptcy Ch 11, Non-Govt","059-02316","OGL","OGW","JOSEPHUS RICE B2-581","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","39° 46' 12.525''","-80° 22' 34.332''",39.770146,-80.376203,"EP DOGO SWDO Dstr Off","Greene","Gilmore Twp","46226 NATIONAL RD","","SAINT CLAIRSVILLE","OH","43950-8742","","",710361,"5/24/2022",710153,2230
"OGO-2293","COOK ENERGY INC","Active, Non-Govt","065-23065","OGL","OGW","JR COOK 1","3/01/1985","Plugged OG Well","GAS","","No","No","Vertical Well","41° 19' 29.136''","-79° 12' 8.5248''",41.32476,-79.202368,"EP DOGO NWDO Dstr Off","Jefferson","Barnett Twp","PO BOX 54","","COOKSBURG","PA","16217-0054","","",129446,"4/25/2023",131360,38722
"OGO-37732","COOK VASCULAR INC","Active, Non-Govt","005-01853","OGL","OGW","HUFFMAN 2","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","40° 37' 35.770''","-79° 34' 42.286''",40.626603,-79.578413,"EP DOGO NWDO Dstr Off","Armstrong","Parks Twp","PO BOX 529","ROUTE 66 RIVER RD","LEECHBURG","PA","15656-0529","","",7767,"3/21/2023",9516,205700
"OGO-37732","COOK VASCULAR INC","Active, Non-Govt","005-20516","OGL","OGW","HUDSON M HUFFMAN 3","6/07/1962","Plugged OG Well","GAS","","No","No","Vertical Well","40° 37' 39.342''","-79° 35' 3.3288''",40.627595,-79.584258,"EP DOGO NWDO Dstr Off","Armstrong","Parks Twp","PO BOX 529","ROUTE 66 RIVER RD","LEECHBURG","PA","15656-0529","","",8708,"12/16/2022",10457,205700
"OGO-37732","COOK VASCULAR INC","Active, Non-Govt","005-20849","OGL","OGW","HUDSON M HUFFMAN 4","6/01/1966","Plugged OG Well","GAS","","No","No","Vertical Well","40° 37' 46.700''","-79° 34' 56.528''",40.629639,-79.582369,"EP DOGO NWDO Dstr Off","Armstrong","Parks Twp","PO BOX 529","ROUTE 66 RIVER RD","LEECHBURG","PA","15656-0529","","",9041,"12/08/2022",10790,205700
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20007","OGL","OGW","TEEL 1","9/25/2006","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 42' 47.349''","-75° 52' 40.536''",41.713153,-75.877927,"EP DOGO NCDO Dstr Off","Susquehanna","Springville Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","TEEL, C. PAD 1",146890,673724,"2/01/2025",681598,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20008","OGL","OGW","GREENWOOD 1","9/25/2007","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 45' 3.988''","-75° 52' 5.275''",41.751108,-75.868132,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","GREENWOOD, R. PAD 1",148440,691948,"9/20/2024",695541,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20010","OGL","OGW","TEEL 2","2/26/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 43' 2.2492''","-75° 52' 44.547''",41.717291,-75.879041,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","TEEL, C. PAD 2",149415,697799,"8/26/2025",699986,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20015","OGL","OGW","ELY 2","7/24/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 43' 45.018''","-75° 52' 19.175''",41.729172,-75.871993,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","ELY, K. PAD 1",147301,698059,"1/26/2025",700209,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20024","OGL","OGW","TEEL 5","5/17/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 42' 47.229''","-75° 52' 15.866''",41.713119,-75.871074,"EP DOGO NCDO Dstr Off","Susquehanna","Springville Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","TEEL,C . PAD 3",145875,697880,"2/06/2025",700047,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20030","OGL","OGW","LEWIS 2","5/28/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 43' 24.239''","-75° 52' 41.986''",41.7234,-75.87833,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","LEWIS H PAD 2",146214,700997,"1/12/2025",702511,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20034","OGL","OGW","ELY 4H","3/27/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 43' 27.598''","-75° 52' 17.145''",41.724333,-75.871429,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","ELY, K. PAD 2",148289,698061,"11/01/2024",702795,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20035","OGL","OGW","LEWIS 1","6/16/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 43' 23.809''","-75° 53' 4.3875''",41.72328,-75.884552,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","LEWIS H PAD 1",147523,702211,"1/17/2025",703530,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20036","OGL","OGW","COSTELLO 1","7/16/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 43' 41.568''","-75° 52' 44.726''",41.728214,-75.879091,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","COSTELLO J PAD 1",147190,702443,"11/13/2024",703722,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20039","OGL","OGW","HUBBARD 1","10/11/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 44' 58.738''","-75° 52' 29.225''",41.749649,-75.874785,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","HUBBARD, G. PAD 1",148562,698063,"9/25/2024",700214,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20041","OGL","OGW","ELY 6H","4/18/2008","Plugged OG Well","GAS","","Yes","No","Horizontal Well","41° 43' 27.258''","-75° 52' 16.865''",41.724239,-75.871352,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","ELY, K. PAD 2",148289,698061,"1/30/2025",705298,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20043","OGL","OGW","COSTELLO 2","8/16/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 43' 41.908''","-75° 53' 7.0575''",41.728308,-75.885294,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","COSTELLO J PAD 2",145872,703945,"11/18/2024",704963,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20054","OGL","OGW","ELY 5H","12/17/2008","Plugged OG Well","GAS","","Yes","No","Horizontal Well","41° 44' 3.5985''","-75° 52' 9.6055''",41.734333,-75.869335,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","ELY, K. PAD 3",148288,698055,"1/23/2025",705955,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20091","OGL","OGW","GESFORD 4R","4/25/2009","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 43' 59.728''","-75° 53' 10.217''",41.733258,-75.886172,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","GESFORD, K. PAD 4",148408,714093,"11/24/2024",713268,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20117","OGL","OGW","RATZEL 3V","11/03/2008","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 44' 11.538''","-75° 51' 46.234''",41.736538,-75.862843,"EP DOGO NCDO Dstr Off","Susquehanna","Dimock Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","RATZEL, D. PAD 1",149151,698067,"10/23/2024",715295,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20176","OGL","OGW","W BROOKS 4H SE","7/10/2009","Plugged OG Well","GAS","","Yes","No","Horizontal Well","41° 41' 54.5''","-75° 53' 33.68''",41.698472,-75.892689,"EP DOGO NCDO Dstr Off","Susquehanna","Springville Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","BROOKS W PAD 2",147862,713787,"8/16/2023",719512,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20245","OGL","OGW","JO BLAISURE 2","5/19/2010","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 46' 58.02''","-75° 57' 55.62''",41.782783,-75.96545,"EP DOGO NCDO Dstr Off","Susquehanna","Jessup Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","BLAISURE, JOSEPH PAD 1",148623,817564,"9/15/2024",725205,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-20567","OGL","OGW","JOHN LOPATOFSKY 1V","7/09/2011","Plugged OG Well","GAS","","Yes","No","Vertical Well","41° 39' 12.87''","-75° 52' 3.32''",41.653575,-75.867589,"EP DOGO NCDO Dstr Off","Susquehanna","Springville Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","LOPATOFSKY, J. PAD 1",150750,745214,"8/07/2023",740487,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-21022","OGL","OGW","ALDRICH L 4","8/19/2014","Plugged OG Well","GAS","","Yes","No","Horizontal Well","41° 47' 6.93''","-75° 35' 59.83''",41.785258,-75.599953,"EP DOGO NCDO Dstr Off","Susquehanna","Gibson Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","ALDRICH L PAD 1",147709,765783,"5/17/2024",756679,43513
"OGO-10897","COTERRA ENERGY INC","Active, Non-Govt","115-23165","OGL","OGW","FRYSTAK C 015","7/15/2024","Plugged OG Well","GAS","","Yes","No","Horizontal Well","41° 50' 38.112''","-75° 55' 19.56''",41.84392,-75.9221,"EP DOGO NCDO Dstr Off","Susquehanna","Bridgewater Twp","501 MARKETPLACE AVE STE 500","","CORAOPOLIS","PA","15108-9862","Frystak, C. Pad 2",158554,868917,"12/10/2024",873080,43513
"OGO-43865","CURTIS OIL INC","Active, Non-Govt","083-39107","OGL","OGW","E H BRYNER 2","2/04/1981","Plugged OG Well","OIL","","No","No","Vertical Well","41° 49' 28.401''","-78° 42' 35.258''",41.824556,-78.709794,"EP DOGO NWDO Dstr Off","McKean","Lafayette Twp","PO BOX 287","694 MAIN ST","DUKE CENTER","PA","16729-0287","","",161774,"4/21/2024",163723,39784
"OGO-43865","CURTIS OIL INC","Active, Non-Govt","083-46513","OGL","OGW","BRYNER W23","1/01/1800","Plugged OG Well","OIL","","No","No","Vertical Well","41° 49' 40.256''","-78° 42' 37.568''",41.827849,-78.710436,"EP DOGO NWDO Dstr Off","McKean","Lafayette Twp","PO BOX 287","694 MAIN ST","DUKE CENTER","PA","16729-0287","","",169192,"12/22/2022",171142,39784
"OGO-66145","D N STOVER INC","Active, Non-Govt","031-01149","OGL","OGW","KAHLE HAHN P217","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","41° 10' 40.512''","-79° 29' 35.264''",41.17792,-79.493129,"EP DOGO NWDO Dstr Off","Clarion","Beaver Twp","PO BOX 810","","KNOX","PA","16232-0810","","",18819,"12/14/2022",20570,254425
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","003-21136","OGL","OGW","ANNA M KUHN, ETAL 1","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","40° 29' 48.814''","-79° 46' 7.1184''",40.496893,-79.768644,"EP DOGO SWDO Dstr Off","Allegheny","Plum Boro","6608 RTE 22","","DELMONT","PA","15626-2408","","",5916,"9/11/2023",7664,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","003-21300","OGL","OGW","BURTON 3","3/09/1992","Plugged OG Well","GAS","","No","No","Vertical Well","40° 31' 6.222''","-79° 42' 43.38''",40.518395,-79.71205,"EP DOGO SWDO Dstr Off","Allegheny","Plum Boro","6608 RTE 22","","DELMONT","PA","15626-2408","","",6065,"4/07/2025",7813,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","003-21367","OGL","OGW","ROMANGO 1","6/26/1995","Plugged OG Well","GAS","","No","No","Vertical Well","40° 30' 39.700''","-79° 43' 32.491''",40.511028,-79.725692,"EP DOGO SWDO Dstr Off","Allegheny","Plum Boro","6608 RTE 22","","DELMONT","PA","15626-2408","","",6130,"7/06/2022",7878,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","003-21375","OGL","OGW","TRESCO 1","9/25/1996","Plugged OG Well","GAS","","No","No","Vertical Well","40° 29' 52.728''","-79° 44' 5.1432''",40.49798,-79.734762,"EP DOGO SWDO Dstr Off","Allegheny","Plum Boro","6608 RTE 22","","DELMONT","PA","15626-2408","","",6138,"6/27/2024",7886,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","003-21504","OGL","OGW","PENN HILLS HIGH SCHOOL 1","11/15/2001","Plugged OG Well","GAS","","No","No","Vertical Well","40° 28' 6.3696''","-79° 48' 57.628''",40.468436,-79.816008,"EP DOGO SWDO Dstr Off","Allegheny","Penn Hills Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",551095,"8/01/2022",568235,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","005-27307","OGL","OGW","REED 1","9/09/2003","Plugged OG Well","GAS","","No","No","Vertical Well","40° 49' 20.892''","-79° 32' 41.676''",40.82247,-79.54491,"EP DOGO NWDO Dstr Off","Armstrong","East Franklin Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",620328,"5/20/2025",640417,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","051-23760","OGL","OGW","SHEARER RONALD UNIT 6","5/19/2009","Plugged OG Well","GAS","","No","No","Vertical Well","39° 58' 37.691''","-79° 43' 31.029''",39.977136,-79.725286,"EP DOGO SWDO Dstr Off","Fayette","Franklin Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",693744,"8/21/2025",696929,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","059-24045","OGL","OGW","KONKUS 1","1/12/2007","Plugged OG Well","GAS","","No","No","Vertical Well","39° 52' 20.497''","-79° 59' 38.561''",39.87236,-79.994045,"EP DOGO SWDO Dstr Off","Greene","Cumberland Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",678374,"11/15/2022",685046,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","063-00317","OGL","OGW","T J DAVIS 50A 1","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","40° 44' 15.802''","-79° 9' 14.587''",40.737723,-79.154052,"EP DOGO NWDO Dstr Off","Indiana","Washington Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",113795,"9/28/2022",115696,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","063-27569","OGL","OGW","KENNETH D MUMAU ET UX 1","8/15/1983","DEP Plugged","GAS","","No","No","Vertical Well","40° 45' 23.389''","-78° 56' 33.547''",40.756497,-78.942652,"EP DOGO NWDO Dstr Off","Indiana","Grant Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",121311,"5/30/2025",123217,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","129-00144","OGL","OGW","R C WILSON 2","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","40° 32' 25.3''","-79° 38' 29.8''",40.540361,-79.641611,"EP DOGO SWDO Dstr Off","Westmoreland","Upper Burrell Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",231285,"4/04/2023",233262,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","129-20346","OGL","OGW","R T & J C WATT 1","1/01/1800","Plugged OG Well","GAS","","No","No","Vertical Well","40° 29' 10.125''","-79° 38' 4.866''",40.486146,-79.634685,"EP DOGO SWDO Dstr Off","Westmoreland","Murrysville Boro","6608 RTE 22","","DELMONT","PA","15626-2408","","",232284,"7/23/2024",234261,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","129-20517","OGL","OGW","ESTATE OF T E MAXWELL 1","7/29/1968","Plugged OG Well","GAS","","No","No","Vertical Well","40° 35' 45.016''","-79° 43' 30.259''",40.595838,-79.725072,"EP DOGO SWDO Dstr Off","Westmoreland","Lower Burrell City","6608 RTE 22","","DELMONT","PA","15626-2408","","",232456,"8/12/2024",234433,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","129-21044","OGL","OGW","WILLIAM D WEIMER ET UX 1","4/24/1977","Plugged OG Well","GAS","","No","No","Vertical Well","40° 26' 25.8''","-79° 23' 29.796''",40.4405,-79.39161,"EP DOGO SWDO Dstr Off","Westmoreland","Loyalhanna Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",232981,"4/27/2023",234958,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","129-24127","OGL","OGW","WILSON 3","3/05/1998","Plugged OG Well","GAS","","No","No","Vertical Well","40° 32' 18.199''","-79° 38' 17.809''",40.538389,-79.63828,"EP DOGO SWDO Dstr Off","Westmoreland","Upper Burrell Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",483502,"3/20/2023",512427,308165
"OGO-39679","DAKOTA OIL & GAS CO","Active, Non-Govt","129-28644","OGL","OGW","SHANTA 30-1","9/12/2011","Plugged OG Well","GAS","","No","No","Vertical Well","40° 29' 26.54''","-79° 32' 34.33''",40.490706,-79.542869,"EP DOGO SWDO Dstr Off","Westmoreland","Bell Twp","6608 RTE 22","","DELMONT","PA","15626-2408","","",750519,"4/13/2023",743639,308165
"OGO-64895","DALLAS ENERGY LLC","Active, Non-Govt","121-22708","OGL","OGW","SURRENA 0111","1/01/1800","Plugged OG Well","UNDETERMINED","","No","No","Vertical Well","41° 11' 43.288''","-79° 55' 51.481''",41.195358,-79.930967,"EP DOGO NWDO Dstr Off","Venango","Irwin Twp","103 S KENDALL AVE","","BRADFORD","PA","16701-6001","","",181826,"5/06/2025",183785,242568
"OGO-64895","DALLAS ENERGY LLC","Active, Non-Govt","125-01098","OGL","OGW","NOBLE J 6","1/01/1800","Plugged OG Well","OIL","","No","No","Vertical Well","40° 10' 46.002''","-80° 23' 3.5227''",40.179445,-80.384312,"EP DOGO SWDO Dstr Off","Washington","Blaine Twp","103 S KENDALL AVE","","BRADFORD","PA","16701-6001","","",229527,"6/24/2024",231504,242568
"OGO-64895","DALLAS ENERGY LLC","Active, Non-Govt","125-01156","OGL","OGW","HILTON T 3","1/01/1800","Plugged OG Well","OIL","","No","No","Vertical Well","40° 9' 28.8''","-80° 23' 6.49''",40.158,-80.385136,"EP DOGO SWDO Dstr Off","Washington","Blaine Twp","103 S KENDALL AVE","","BRADFORD","PA","16701-6001","","",229585,"1/04/2022",231562,242568
